"","X","Country","idv","fullVaxPerHundred","gdpPerCapita","PercentGDPonHealthcare","populationDensity","medianAge","percent65orOlder"
"1",1,"Argentina",46,65.46,18933.907,9.62,16.177,31.9,11.198
"2",2,"Australia",90,73.13,44648.71,9.28,3.202,37.9,15.504
"3",3,"Austria",55,66.19,45436.686,10.33,106.749,44.4,19.202
"4",4,"Bangladesh",20,22.22,3523.984,2.34,1265.036,27.5,5.098
"5",5,"Belgium",75,74.86,42658.576,10.32,375.564,41.8,18.571
"6",6,"Brazil",38,62.92,14103.452,9.51,25.04,33.5,8.552
"7",7,"Bulgaria",30,25.82,18563.307,7.35,65.18,44.7,20.801
"8",8,"Canada",80,76.3,44017.591,10.79,4.037,41.4,16.984
"9",9,"Chile",23,84.19,22767.037,9.14,24.282,35.4,11.087
"10",10,"China",20,74.53,15308.712,5.35,147.674,38.7,10.641
"11",11,"Colombia",13,48.82,13254.949,7.64,44.223,32.2,7.646
"12",12,"Costa Rica",15,63.79,15524.995,7.56,96.079,33.6,9.468
"13",13,"Croatia",33,47.82,22669.797,6.83,73.726,44,19.724
"14",14,"Czech Republic",58,59.52,32605.906,7.65,137.176,43.3,19.027
"15",15,"Denmark",74,76.72,46682.515,10.07,136.52,42.3,19.677
"16",16,"Ecuador",8,64.3,10581.936,8.14,66.939,28.1,7.104
"17",17,"El Salvador",19,62.9,7292.458,7.11,307.811,27.6,8.273
"18",18,"Estonia",60,59.59,29481.252,6.69,31.033,42.7,19.452
"19",19,"Finland",63,72.66,40585.721,9.04,18.136,42.8,21.228
"20",20,"France",71,69.9,38605.671,11.26,122.578,42,19.718
"21",21,"Germany",67,68.16,45229.245,11.43,237.016,46.6,21.453
"22",22,"United Kingdom",89,68.07,39753.244,10,272.898,40.8,18.517
"23",23,"Greece",35,63.82,24574.382,7.72,83.479,45.3,20.396
"24",24,"Guatemala",6,22.5,7423.808,5.71,157.834,22.9,4.694
"26",26,"Hungary",80,60.75,26777.561,6.7,108.043,43.4,18.577
"27",27,"India",48,32.57,6426.674,3.54,450.419,28.2,5.989
"28",28,"Indonesia",14,34.92,11188.744,2.87,145.725,29.3,5.319
"29",29,"Iran",41,56.63,19082.62,8.66,49.831,32.4,5.44
"30",30,"Ireland",70,76.22,67335.293,6.93,69.874,38.7,13.928
"31",31,"Israel",54,62.21,33132.32,7.52,402.606,30.6,11.733
"32",32,"Italy",76,73.02,35220.084,8.67,205.859,47.9,23.021
"33",33,"Jamaica",39,17.24,8193.571,6.06,266.879,31.4,9.684
"34",34,"Japan",46,77.66,39002.223,10.95,347.778,48.2,27.049
"35",35,"South Korea",18,80.19,35938.374,7.56,527.967,43.4,13.914
"36",36,"Latvia",70,64.14,25063.846,6.19,31.212,43.9,19.754
"37",37,"Lithuania",60,66.34,29524.265,6.57,45.135,43.5,19.002
"38",38,"Luxembourg",60,5.96,94277.965,5.29,231.447,39.7,14.312
"39",39,"Malaysia",26,77.54,26808.164,3.76,96.254,29.9,6.293
"40",40,"Malta",59,83.79,36513.323,8.96,1454.037,42.4,19.426
"41",41,"Mexico",30,49.97,17336.469,5.37,66.444,29.3,6.857
"42",42,"Morocco",46,61.17,7485.013,5.31,80.08,29.6,6.769
"43",43,"Netherlands",80,74.08,48472.545,9.97,508.544,43.2,18.779
"44",44,"New Zealand",79,70.95,36085.843,9.21,18.206,37.9,15.322
"45",45,"Norway",69,70.31,64800.057,10.05,14.462,39.7,16.821
"46",46,"Pakistan",14,22.53,5034.708,3.2,255.573,23.5,4.495
"47",47,"Panama",11,55.45,22267.037,7.27,55.133,29.7,7.918
"48",48,"Peru",16,56.13,12236.706,5.24,25.129,29.1,7.151
"49",49,"Philippines",32,33.2,7599.188,4.4,351.873,25.2,4.803
"50",50,"Poland",60,54.12,27216.445,6.33,124.027,41.8,16.763
"51",51,"Portugal",27,88.41,27936.896,9.41,112.371,46.2,21.502
"52",52,"Romania",30,38.92,23313.199,5.56,85.129,43,17.85
"53",53,"Russia",39,39.09,24765.954,5.32,8.823,39.6,14.178
"54",54,"Serbia",25,45.84,14048.881,8.54,80.291,41.2,17.366
"56",56,"Slovakia",52,43.06,30155.152,6.69,113.128,41.2,15.07
"57",57,"Slovenia",27,55.41,31400.84,8.3,102.619,44.5,19.062
"58",58,"Spain",51,80.52,34272.36,8.98,93.105,45.5,19.436
"59",59,"Suriname",47,37.05,13767.119,7.97,3.612,29.6,6.933
"60",60,"Sweden",71,70.34,46949.283,10.9,24.718,41,19.985
"61",61,"Switzerland",68,65.57,57410.166,11.88,214.243,43.1,18.436
"62",62,"Thailand",20,59.31,16277.671,3.79,135.132,40.1,11.373
"63",63,"Trinidad and Tobago",16,45.95,28763.071,6.93,266.886,36.2,10.014
"64",64,"Turkey",37,59.39,25129.341,4.12,104.914,31.6,8.153
"65",65,"United States",91,59.45,54225.446,16.89,35.608,38.3,15.413
"66",66,"Uruguay",36,76.27,20551.409,9.2,19.751,35.6,14.655
"67",67,"Venezuela",12,34.34,16745.022,3.56,36.253,29,6.614
"68",68,"Vietnam",20,53.72,6171.884,5.92,308.127,32.6,7.15
